,City,Cloud Cover,Country,Date,Humidity,Latitude,Longitude,Highest Temperature,Wind Speed
0,Tiksi,99,RU,1570682229,90,71.64,128.87,23.22,6.68
1,Khatanga,23,RU,1570682230,81,71.98,102.47,18.45,11.65
2,Beringovskiy,0,RU,1570682231,62,63.05,179.32,33.39,8.89
3,Kununurra,56,AU,1570682233,6,-15.77,128.74,104.0,11.41
4,Cape Town,0,ZA,1570682234,62,-33.93,18.42,55.99,18.34
5,Saint George,20,GR,1570682236,100,39.45,22.34,55.4,4.7
6,Albany,90,US,1570682237,66,42.65,-73.75,52.0,4.7
7,Tasiilaq,89,GL,1570682238,80,65.61,-37.64,35.6,0.9
8,Rikitea,100,PF,1570682240,60,-23.12,-134.97,69.12,7.25
9,Nucet,89,RO,1570682241,82,46.49,22.56,49.32,2.52
10,Nantucket,90,US,1570682242,82,41.28,-70.1,57.99,31.09
11,Bethel,90,US,1570682243,93,60.79,-161.76,39.2,13.87
12,Ushuaia,90,AR,1570682245,69,-54.81,-68.31,35.6,14.99
13,Leningradskiy,14,RU,1570682246,72,69.38,178.42,26.11,14.59
14,Mahebourg,75,MU,1570682247,73,-20.41,57.7,71.6,12.75
15,Qaanaaq,100,GL,1570682249,88,77.48,-69.36,24.4,13.56
16,Hilo,1,US,1570682250,83,19.71,-155.08,78.8,5.82
17,Puerto Ayora,20,EC,1570682251,93,-0.74,-90.35,64.99,5.99
18,Hermanus,0,ZA,1570682253,65,-34.42,19.24,50.0,18.73
19,New Norfolk,75,AU,1570682254,76,-42.78,147.06,55.99,17.22
20,Hobart,75,AU,1570682255,76,-42.88,147.33,55.99,17.22
21,Busselton,5,AU,1570682257,40,-33.64,115.35,75.99,12.28
22,Zhigansk,100,RU,1570682258,80,66.77,123.37,21.85,16.98
23,Crotone,38,IT,1570682259,76,39.09,17.12,69.44,1.44
24,Tiznit,100,MA,1570682261,27,29.7,-9.73,70.86,6.0
25,Mataura,100,NZ,1570682262,94,-46.19,168.86,45.0,11.99
26,Luau,56,CD,1570682263,76,-10.7,22.23,71.98,2.1
27,Bathsheba,20,BB,1570682265,69,13.22,-59.52,82.4,14.99
28,Atuona,63,PF,1570682266,76,-9.8,-139.03,79.05,9.81
29,Hong Gai,40,VN,1570682267,70,20.96,107.09,86.0,4.7
